Id;País;2009;2009;2010;2010;2011;2011;2012;2012;2013;2013;2014;2014;2015;2015;2016;2016;2017;2017;2018;2018;2019;2019;2020;2020;2021;2021;2022;2022;2023;2023;2024;2024
1;Afeganistão;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;46;0;0;0;0;0;0
2;África do Sul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;95;4;21;0;0;0;0;117;698;103;1783
3;Alemanha, República Democrática;225086;393482;27715;138666;36070;144150;8189;56342;61699;265978;213348;761653;10680;44780;14012;68109;15467;87702;10794;45382;3660;25467;6261;32605;2698;6741;7630;45367;4806;31853;6666;48095
4;Angola;54786;84235;33557;189891;13889;69001;2833;8861;1573;9300;12182;23124;1908;17089;7359;35390;10170;61680;477;709;345;1065;0;0;0;0;4068;4761;0;0;0;0
5;Anguilla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Antígua e Barbuda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;191;219;1549;624;1864;805;2268;419;1866;383;1848;447;3329
7;Antilhas Holandesas;8235;10651;9810;12808;7335;10188;9247;14081;11281;19565;4455;7169;6660;10545;16641;26450;5400;8550;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Arábia Saudita;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124;142;32;54
9;Argélia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;87
10;Argentina;162;4523;0;0;13253;55460;0;0;0;0;20385;95130;0;0;0;0;0;0;15711;59150;0;0;1015;4176;6;13;480;3232;4545;36133;21015;167696
11;Aruba;0;0;0;0;900;1680;0;0;0;0;450;755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Austrália;1014;9195;1823;17960;3632;40704;9345;56045;16707;101715;6308;43709;7437;48011;1954;13799;1350;7500;2055;6902;1161;4682;1013;3413;705;4034;1424;12299;2485;13565;2070;19152
13;Áustria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;675;5220;0;0;0;0;0;0;0;0;0;0;6;212;0;0;0;0
14;Bahamas;0;0;3175;12759;4529;28810;1374;12087;581;5145;0;0;0;0;0;0;0;0;141;634;791;3124;1212;3703;1083;4567;1215;5799;1348;7402;1632;7457
15;Bangladesh;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;29;2;20;7;84;0;0;0;0
16;Barbados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;394;143;169;216;844;220;1145;58;303;773;580
17;Barein;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;482;2144;8;28;302;894;979;2789;283;1684;178;1044
18;Bélgica;125962;58764;42532;185411;11802;62339;16132;90718;22461;95893;151320;704093;4473;26399;7200;46534;2790;16405;7497;52799;2498;12548;3166;20460;483;3749;828;6145;95;683;960;8334
19;Belice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;29;0;0;0;0;0;0;0;0;0;0
20;Benin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5040;20333;0;0;0;0;9;9;0;0;0;0;0;0;0;0;0;0
21;Bermudas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;153;102;823
22;Bolívia;40463;20729;54;282;12775;20215;11868;16804;19147;25998;12534;18303;10674;12990;13586;16902;9495;23085;21566;57424;0;0;9900;16025;5850;8360;32530;49011;21926;36950;20334;30293
23;Bósnia-Herzegovina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;52;0;0;0;0;0;0;0;0
